SubjID,SNR,Quintile,AvgPupilDilation
P02,5,1,-0.0245655678095295
P02,0,1,0.186422936616409
P02,-5,1,0.113497499870408
P02,-10,1,0.239644560388857
P02,5,2,0.19531678692152
P02,0,2,0.040728528348054
P02,-5,2,0.263230100047152
P02,-10,2,0.532258062316428
P02,5,3,0.178038680469358
P02,0,3,0.0748578443772896
P02,-5,3,0.157101177886776
P02,-10,3,0.239278638806589
P02,5,4,0.127315047538177
P02,0,4,0.0909600469279263
P02,-5,4,0.174203552701845
P02,-10,4,0.34875130173061
P02,5,5,-0.0275681126669757
P02,0,5,0.350656870401
P02,-5,5,0.547228009181308
P02,-10,5,0.315798105192415
P03,5,1,-0.109513822801096
P03,0,1,0.292637418252933
P03,-5,1,0.103422511628322
P03,-10,1,0.235292248797408
P03,5,2,-0.00839677911567847
P03,0,2,-0.121577036603667
P03,-5,2,0.0361009932195576
P03,-10,2,0.235132001468823
P03,5,3,0.0300160318457688
P03,0,3,0.308506618300151
P03,-5,3,0.00163731478148708
P03,-10,3,0.367515411759223
P03,5,4,-0.224840695640883
P03,0,4,-0.274754339825683
P03,-5,4,-0.20980277097715
P03,-10,4,0.0363881508543669
P03,5,5,0.129207888698731
P03,0,5,-0.195727894277022
P03,-5,5,0.284650362101452
P03,-10,5,-0.129170836964151
P04,5,1,-0.428840322651022
P04,0,1,-0.357594220942053
P04,-5,1,-0.162238332739268
P04,-10,1,-0.213016738396466
P04,5,2,0.0273260512049954
P04,0,2,-0.188102239998688
P04,-5,2,0.182039038732848
P04,-10,2,0.113018957561215
P04,5,3,0.0345277150982004
P04,0,3,0.140252269913676
P04,-5,3,-0.0394493425790381
P04,-10,3,0.0788892511838098
P04,5,4,0.128611461703446
P04,0,4,-0.0763196651710481
P04,-5,4,-0.0032585765284809
P04,-10,4,-0.117636947088216
P04,5,5,-0.0437477760446709
P04,0,5,-0.0479072265186558
P04,-5,5,0.0118368966077976
P04,-10,5,0.235101907965053
P05,5,1,-0.197213718806632
P05,0,1,-0.033604818365379
P05,-5,1,0.0338068330190522
P05,-10,1,0.118943353562577
P05,5,2,-0.151925186717126
P05,0,2,0.173510893089626
P05,-5,2,-0.175527269767515
P05,-10,2,0.0813201849483744
P05,5,3,-0.117453890797647
P05,0,3,0.0322901721888245
P05,-5,3,-0.422071552317031
P05,-10,3,0.105166393854734
P05,5,4,-0.0772136762280631
P05,0,4,-0.221614285514801
P05,-5,4,0.139868646805629
P05,-10,4,0.487499247763188
P05,5,5,0.0662035853049266
P05,0,5,0.303197684974076
P05,-5,5,-0.0102675858255784
P05,-10,5,0.421703830551594
P06,5,1,0.205839071422147
P06,0,1,0.0752554031996742
P06,-5,1,0.153997551305039
P06,-10,1,0.254496508791797
P06,5,2,0.2128374127526
P06,0,2,0.141779340541634
P06,-5,2,0.138199652948229
P06,-10,2,0.0696573576252499
P06,5,3,-0.124268420774699
P06,0,3,0.0699000775392449
P06,-5,3,0.214991004211025
P06,-10,3,-0.0463122254426611
P06,5,4,0.0578307321135482
P06,0,4,0.156281621811455
P06,-5,4,0.428339856342219
P06,-10,4,0.0250472179608346
P06,5,5,0.367595573188289
P06,0,5,0.266323485706703
P06,-5,5,0.271269597966275
P06,-10,5,0.213594905134553
P07,5,1,-0.131191637780809
P07,0,1,-0.0903935144451032
P07,-5,1,-0.114824125439008
P07,-10,1,-0.0327823860204862
P07,5,2,0.137132799632136
P07,0,2,0.161258377656775
P07,-5,2,-0.0224374219628746
P07,-10,2,-0.0128087264544315
P07,5,3,-0.0176294503970423
P07,0,3,0.153104980566383
P07,-5,3,-0.0108414657792711
P07,-10,3,0.0501001681560149
P07,5,4,-0.121394438424456
P07,0,4,-0.175336371691967
P07,-5,4,-0.610664911359564
P07,-10,4,-0.238646932486529
P07,5,5,-0.0297516866317077
P07,0,5,0.155388150361469
P07,-5,5,0.172677197718621
P07,-10,5,-0.0877219634685423
P08,5,1,0.176138887217978
P08,0,1,0.396683588381507
P08,-5,1,0.418538858925558
P08,-10,1,0.390540176548802
P08,5,2,-0.0286205389904055
P08,0,2,-0.239899295982622
P08,-5,2,0.0328906083583487
P08,-10,2,0.0693935432085497
P08,5,3,0.176661131555508
P08,0,3,0.108080329606932
P08,-5,3,0.356137911005201
P08,-10,3,0.410952546028016
P08,5,4,-0.252073684775398
P08,0,4,-0.0401651279787756
P08,-5,4,-0.15734263790124
P08,-10,4,0.190724257574218
P08,5,5,0.302534629123733
P08,0,5,-0.0858404306913168
P08,-5,5,0.901252814213821
P08,-10,5,0.560026473524555
P09,5,1,0.22578556058968
P09,0,1,0.269495124515453
P09,-5,1,-0.0561139309717776
P09,-10,1,0.268048999086162
P09,5,2,0.316388264145182
P09,0,2,0.607479136825614
P09,-5,2,0.0602184813980685
P09,-10,2,0.608472426060854
P09,5,3,0.183778625745179
P09,0,3,0.154692707037633
P09,-5,3,0.0674379718546168
P09,-10,3,0.418863263054317
P09,5,4,0.185597496829215
P09,0,4,0.170251942092635
P09,-5,4,0.233635523504589
P09,-10,4,0.310916450174959
P09,5,5,0.0198971105648255
P09,0,5,0.0979737100555122
P09,-5,5,0.194578560628623
P09,-10,5,0.111661896598079
P10,5,1,0.145279731601739
P10,0,1,-0.304777431643542
P10,-5,1,-0.148287002361247
P10,-10,1,0.110837918794899
P10,5,2,-0.172611685331959
P10,0,2,0.168380671979687
P10,-5,2,-0.0806596497381238
P10,-10,2,0.0703699165079361
P10,5,3,-0.382369715861292
P10,0,3,-0.182228749762024
P10,-5,3,-0.043708028192306
P10,-10,3,0.140056908449732
